Дата,Сумма,Операция,Детали,Unnamed: 4,user_id,category
04.05.2026,"-10,000.00 ₸",KZT,Перевод,Алданазар Аиша Мұхаметжанқызы Безвозмездный перевод,user_809,Одежда
04.05.2026,"-2,350.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 72002160 на сумму 2350 KZT,user_379,Электроника
04.05.2026,-620.00 ₸,KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 620 KZT,user_521,Ремонт
04.05.2026,"-2,950.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_560,Путешествия
04.05.2026,+12.86 ₸,KZT,Пополнение,Пополнение.,user_379,Подарки
03.05.2026,"-1,490.00 ₸",KZT,Покупка,IVI.RU ALMATY KZ,user_665,Подарки
03.05.2026,"-20,040.00 ₸",KZT,Покупка,"TOO ""SPENISH RITEYL KAZAH ALMATY",user_471,Развлечения
03.05.2026,"-12,290.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70006265 на сумму 12290 KZT,user_665,Подписки
02.05.2026,-650.00 ₸,KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_304,Коммуналка
02.05.2026,"-13,816.00 ₸",KZT,Покупка,SMALL SUPERMARKET ALA03 ALMATY KZ,user_347,Авто
02.05.2026,"-3,840.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_966,Медицина
02.05.2026,"-6,600.00 ₸",KZT,Покупка,VANILLA COFFEE SHOP ALMATY KZ,user_304,Спорт
02.05.2026,"-18,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_665,Развлечения
02.05.2026,"-10,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_347,Путешествия
02.05.2026,"-2,380.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_521,Штрафы
02.05.2026,-310.00 ₸,KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_379,Коммуналка
01.05.2026,"-6,468.00 ₸",KZT,Покупка,IP TOYBAEVA ALMATY KZ,user_560,Рестораны
01.05.2026,"-2,600.00 ₸",KZT,Покупка,KINOPARK ALMATY KZ,user_777,Медицина
01.05.2026,-760.00 ₸,KZT,Покупка,UBER ALMATY KZ,user_347,Коммуналка
01.05.2026,"-53,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_809,Аренда
01.05.2026,"-16,400.00 ₸",KZT,Покупка,KINO.KZ ALMATY KZ,user_304,Кредиты
01.05.2026,-430.00 ₸,KZT,Покупка,YANDEX.GO ALMATY KZ,user_665,Развлечения
30.04.2026,"-1,760.00 ₸",KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_471,Аренда
30.04.2026,"-1,720.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Развлечения
30.04.2026,"-5,670.00 ₸",KZT,Перевод,Нуржанов Бекет Сабырханулы Безвозмездный перевод,user_471,Медицина
30.04.2026,"-3,730.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_347,Одежда
30.04.2026,"-6,600.00 ₸",KZT,Перевод,Ермек Альбина Ермекқызы Безвозмездный перевод,user_521,Аренда
30.04.2026,"-10,346.78 ₸",KZT,Покупка,OPENAI CHATGPT SUBSCR 14158799686 US,user_809,Спорт
30.04.2026,"-4,210.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_347,Авто
30.04.2026,"+318,182.00 ₸",KZT,Пополнение,"Поступление от Товарищество с ограниченной ответственностью ""Freedom Holding Operations"" БИН 240340008470 ПП №87 от 30.04.2026",user_665,Развлечения
30.04.2026,"-1,040.00 ₸",KZT,Покупка,YANDEX.GO ALMATY KZ,user_665,Спорт
30.04.2026,"-1,110.00 ₸",KZT,Покупка,YANDEX.GO ALMATY KZ,user_304,Красота
29.04.2026,"-1,890.00 ₸",KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_379,Авто
29.04.2026,-5.80 $,USD,Покупка,ANTHROPIC 14152360599 US,user_665,Подарки
29.04.2026,"-5,600.00 ₸",KZT,Покупка,STARBUCKS COFFEE SHOP ALMATY KZ,user_379,Продукты
29.04.2026,"-3,490.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_471,Одежда
29.04.2026,-570.00 ₸,KZT,Покупка,"TOO ""AS TIME"" KASKELEN KZ",user_347,Одежда
29.04.2026,-500.00 ₸,KZT,Покупка,NANGO SHOP ALMATINSKAYa KZ,user_379,Кредиты
29.04.2026,"-4,360.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_521,Дети
29.04.2026,-114.00 ₸,KZT,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5456889 Arbuz",user_471,Штрафы
28.04.2026,"-20,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_560,Медицина
28.04.2026,"-17,929.00 ₸",KZT,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5456889 Arbuz",user_304,Электроника
28.04.2026,-390.00 ₸,KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_966,Питомцы
28.04.2026,"-2,550.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_809,Питомцы
28.04.2026,-240.00 ₸,KZT,Покупка,YANDEX.DELIVERY ALMATY KZ,user_809,Рестораны
28.04.2026,"-1,550.00 ₸",KZT,Покупка,YANDEX.DELIVERY ALMATY KZ,user_521,Путешествия
28.04.2026,"+1,550.00 ₸",KZT,Покупка,Возврат. Отмена покупки,user_521,Образование
28.04.2026,"-4,280.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_347,Путешествия
28.04.2026,"-1,550.00 ₸",KZT,Покупка,YANDEX.DELIVERY ALMATY KZ,user_471,Страхование
28.04.2026,"+68,850.00 ₸",KZT,Пополнение,Заработная плата. Сумма на руки за период апрель 2026 г.,user_379,Такси
26.04.2026,"-1,500.00 ₸",KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_560,Развлечения
26.04.2026,-11.60 $,USD,Покупка,ANTHROPIC 14152360599 US,user_347,Дети
26.04.2026,"+3,684.52 ₸",KZT,Пополнение,Между своими счетами,user_521,Аренда
26.04.2026,-280.00 ₸,KZT,Покупка,SALAMAT G.ALMATY KZ,user_777,Продукты
26.04.2026,"-2,580.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_347,Страхование
25.04.2026,"-5,675.00 ₸",KZT,Перевод,Ермек Альбина Ермекқызы Безвозмездный перевод,user_966,Электроника
25.04.2026,-235.00 ₸,KZT,Покупка,EUROPHARMA 323 PHARMACY ALMATY KZ,user_777,Ремонт
25.04.2026,"-2,222.00 ₸",KZT,Перевод,Мұратбекұлы Мейіржан Безвозмездный перевод,user_560,Авто
25.04.2026,"-2,755.00 ₸",KZT,Покупка,IP ORALZHAN TEKELI KZ,user_777,Связь
25.04.2026,"-4,900.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Страхование
25.04.2026,"-2,190.00 ₸",KZT,Покупка,SPECTRE COFFEE ALMATY KZ,user_379,Аренда
24.04.2026,"-4,721.00 ₸",KZT,Покупка,SAMA LEPILA SHOP ALMATY KZ,user_471,Такси
24.04.2026,"-1,880.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_379,Медицина
24.04.2026,"-2,239.00 ₸",KZT,Покупка,Mikromarket Purple 34 ALMATY KZ,user_471,Транспорт
24.04.2026,"-2,700.00 ₸",KZT,Покупка,BARBARIS ESENTAI TOWERS ALMATY KZ,user_379,Аренда
24.04.2026,-315.00 ₸,KZT,Покупка,Mikromarket Purple 34 ALMATY KZ,user_777,Инвестиции
24.04.2026,"-2,220.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_966,Медицина
23.04.2026,"-2,530.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_347,Дети
23.04.2026,"-1,706.00 ₸",KZT,Покупка,RYADOM ALMATY KZ,user_304,Страхование
23.04.2026,"-6,000.00 ₸",KZT,Перевод,Болат Алишер Амантайұлы Безвозмездный перевод,user_809,Медицина
23.04.2026,-310.00 ₸,KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 310 KZT,user_665,Аренда
23.04.2026,"-2,020.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_379,Электроника
22.04.2026,"-1,630.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Электроника
22.04.2026,"-4,500.00 ₸",KZT,Перевод,Нұржанов Бауыржан Наурызбекұлы Безвозмездный перевод,user_560,Авто
22.04.2026,"-1,360.00 ₸",KZT,Покупка,"TOO ""AS TIME"" KASKELEN KZ",user_777,Подписки
22.04.2026,-730.00 ₸,KZT,Покупка,YANDEX.DELIVERY ALMATY KZ,user_809,Ремонт
22.04.2026,"-14,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_521,Одежда
22.04.2026,"-3,290.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Медицина
22.04.2026,"+52,000.00 ₸",KZT,Пополнение,Перевод с карты на карту,user_777,Медицина
22.04.2026,"-1,999.00 ₸",KZT,Покупка,YANDEX.PLUS ALMATY KZ,user_665,Транспорт
21.04.2026,+50.00 ₸,KZT,Пополнение,Пополнение. Возврат денег за заказ 5400219 Arbuz,user_304,Коммуналка
21.04.2026,-50.00 ₸,KZT,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" Возврат денег за заказ 5400219 Arbuz",user_777,Коммуналка
21.04.2026,"-2,380.00 ₸",KZT,Покупка,YANDEX.GO ALMATY KZ,user_471,Путешествия
21.04.2026,"-12,717.00 ₸",KZT,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5400219 Arbuz",user_665,Авто
21.04.2026,"-5,600.00 ₸",KZT,Перевод,Болат Алишер Амантайұлы Безвозмездный перевод,user_665,Рестораны
21.04.2026,"+44,800.00 ₸",KZT,Пополнение,Перевод с карты на карту,user_347,Коммуналка
21.04.2026,"-1,420.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 1420 KZT,user_809,Образование
21.04.2026,"-2,260.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_665,Подписки
21.04.2026,"-2,190.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_379,Образование
20.04.2026,"-2,270.00 ₸",KZT,Покупка,"TOO ""MODERN RITEYL"" ALMATY KZ",user_347,Электроника
20.04.2026,"-2,030.00 ₸",KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_521,Такси
20.04.2026,-420.00 ₸,KZT,Покупка,RYADOM ALMATY KZ,user_521,Такси
20.04.2026,"-4,700.00 ₸",KZT,Перевод,Лян Ирина Эдуардовна Безвозмездный перевод,user_809,Медицина
20.04.2026,"+16,000.00 ₸",KZT,Пополнение,Перевод с карты на карту,user_665,Питомцы
19.04.2026,"-4,600.00 ₸",KZT,Перевод,Жанзаков Дамир Рустемович Безвозмездный перевод,user_809,Связь
19.04.2026,-110.00 ₸,KZT,Покупка,APPLE.COM BILL ITUNES.COM IE,user_665,Одежда
19.04.2026,"-2,030.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_809,Инвестиции
18.04.2026,"-3,180.00 ₸",KZT,Перевод,Нұржанов Бауыржан Наурызбекұлы Безвозмездный перевод,user_471,Транспорт
18.04.2026,"-3,800.00 ₸",KZT,Покупка,POPEYES RESTAURANT ALMATY KZ,user_809,Инвестиции
18.04.2026,"-1,790.00 ₸",KZT,Покупка,DODO PITSTSA YESENTAY G.ALMATY KZ,user_809,Путешествия
18.04.2026,-520.00 ₸,KZT,Покупка,YANDEX.GO ALMATY KZ,user_777,Рестораны
18.04.2026,"-3,480.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_521,Путешествия
18.04.2026,"-30,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_521,Одежда
18.04.2026,"-20,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_379,Медицина
18.04.2026,"+2,480.00 ₸",KZT,Пополнение,Между своими счетами,user_471,Питомцы
17.04.2026,"-3,310.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_560,Транспорт
17.04.2026,"-30,000.00 ₸",KZT,Перевод,Лян Ирина Эдуардовна Безвозмездный перевод,user_471,Ремонт
17.04.2026,"-4,095.00 ₸",KZT,Покупка,YANDEX.EDA ALMATY KZ,user_809,Коммуналка
17.04.2026,"-2,030.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_379,Образование
16.04.2026,"-1,920.00 ₸",KZT,Покупка,IP ISABEKOVA SHYMKENT KZ,user_471,Путешествия
16.04.2026,"-3,420.00 ₸",KZT,Покупка,GASTRONOMIYA ALMATY KZ,user_347,Ремонт
16.04.2026,"-3,120.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_471,Связь
16.04.2026,-470.00 ₸,KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 470 KZT,user_347,Дети
16.04.2026,"-2,200.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 2200 KZT,user_521,Коммуналка
16.04.2026,-441.00 ₸,KZT,Покупка,RYADOM ALMATY KZ,user_777,Развлечения
16.04.2026,"-3,280.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_665,Связь
15.04.2026,"-1,090.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_665,Электроника
15.04.2026,"-6,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_966,Штрафы
15.04.2026,"-5,000.00 ₸",KZT,Перевод,Нуржанов Бекет Сабырханулы Безвозмездный перевод,user_665,Страхование
15.04.2026,-460.00 ₸,KZT,Покупка,"TOO ""AS TIME"" KASKELEN KZ",user_379,Рестораны
15.04.2026,"-1,100.00 ₸",KZT,Покупка,"TOO ""AS TIME"" KASKELEN KZ",user_304,Питомцы
15.04.2026,-23.20 $,USD,Покупка,CLAUDE.AI SUBSCRIPTION 14152360599 US,user_560,Дети
15.04.2026,-100.00 ₸,KZT,Покупка,"TOO ""NAUBAY"" KASKELEN KZ",user_560,Дети
15.04.2026,"-2,350.00 ₸",KZT,Покупка,"TOO ""NAUBAY"" KASKELEN KZ",user_966,Авто
15.04.2026,"-3,140.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_966,Электроника
15.04.2026,"-14,730.00 ₸",KZT,Покупка,WILDBERRIES ALMATY KZ,user_304,Ремонт
13.04.2026,"-2,142.00 ₸",KZT,Покупка,"TOO ""MODERN RITEYL"" ALMATY KZ",user_471,Коммуналка
13.04.2026,"-1,400.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 1400 KZT,user_521,Одежда
13.04.2026,"-3,400.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 72002160 на сумму 3400 KZT,user_560,Такси
13.04.2026,-310.00 ₸,KZT,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 310 KZT,user_809,Транспорт
13.04.2026,"-2,710.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_379,Спорт
12.04.2026,"-19,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_304,Электроника
12.04.2026,"-107,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_347,Штрафы
12.04.2026,"-6,955.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 70009332 на сумму 6955 KZT,user_665,Подписки
12.04.2026,"-3,330.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_809,Питомцы
12.04.2026,"-2,260.00 ₸",KZT,Покупка,"TOO ""AS TIME"" KASKELEN KZ",user_379,Авто
12.04.2026,"-5,230.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_304,Штрафы
12.04.2026,"-1,830.00 ₸",KZT,Покупка,UBER ALMATY KZ,user_966,Такси
09.04.2026,"-6,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_521,Подписки
06.04.2026,"-1,760.00 ₸",KZT,Покупка,MECHTA SHOP ALMATY KZ,user_777,Спорт
06.04.2026,"-6,027.00 ₸",KZT,Покупка,TOO TATKRAFT-FUD TAJYNSHA KZ,user_521,Образование
04.04.2026,"-1,010.00 ₸",KZT,Покупка,YANDEX.GO ALMATY KZ,user_379,Подписки
04.04.2026,"-5,640.00 ₸",KZT,Покупка,NANDUK STREET FOOD ALMATY KZ,user_347,Подарки
04.04.2026,"-3,200.00 ₸",KZT,Покупка,HOCHUPURI KAFE KOKSHETAU KZ,user_304,Инвестиции
04.04.2026,"-1,000.00 ₸",KZT,Покупка,AVENUE PARK 2 KOKSHETAU KZ,user_347,Коммуналка
04.04.2026,"-5,500.00 ₸",KZT,Покупка,AVENUE PARK 2 KOKSHETAU KZ,user_521,Аренда
04.04.2026,"-1,770.00 ₸",KZT,Покупка,NANDUK STREET FOOD ALMATY KZ,user_560,Медицина
04.04.2026,"-47,450.00 ₸",KZT,Покупка,LC WAIKIKI SHOP KOKSHETAU KZ,user_809,Штрафы
04.04.2026,-490.00 ₸,KZT,Покупка,YANDEX.GO ALMATY KZ,user_304,Спорт
04.04.2026,-720.00 ₸,KZT,Покупка,YANDEX.GO ALMATY KZ,user_471,Такси
04.04.2026,"-2,080.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 72002968 на сумму 2080 KZT,user_379,Питомцы
04.04.2026,"-12,500.00 ₸",KZT,Покупка,212 BOUTIQUE TD ARMADA ALMATY,user_966,Страхование
04.04.2026,"-3,730.00 ₸",KZT,Платеж,Возмещение за QR оплату через POS 72002968 на сумму 3730 KZT,user_379,Одежда
04.04.2026,"-1,100.00 ₸",KZT,Покупка,IP RAMAZAN KOKSHETAU KZ,user_809,Подарки
04.04.2026,"-8,790.00 ₸",KZT,Покупка,KOREAN STREET FOOD G. KOKSHETAU KZ,user_777,Образование
04.04.2026,-250.00 ₸,KZT,Покупка,"IP ""BARAKYAT"" TAYYNSHA KZ",user_379,Подписки
03.04.2026,"-1,490.00 ₸",KZT,Покупка,IVI.RU ALMATY KZ,user_966,Питомцы
03.04.2026,"+89,800.00 ₸",KZT,Пополнение,Перевод с карты на карту,user_777,Образование
02.04.2026,"-27,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_809,Рестораны
01.04.2026,+10.82 ₸,KZT,Пополнение,Пополнение. Выплата процентов по вкладу № KZ74551T600064346KZT от 22.07.2025 за период с 01-го по 31.03.26. Вкладчик Сулейменова Дильназ Тулегеновна,user_471,Транспорт
31.03.2026,"-3,630.00 ₸",KZT,Покупка,MECHTA SHOP ALMATY KZ,user_777,Путешествия
31.03.2026,"-13,809.00 ₸",KZT,Покупка,SEMEINYI SUPERMARKET 26 ALMATY KZ,user_665,Образование
31.03.2026,"-28,180.00 ₸",KZT,Покупка,WILDBERRIES ALMATY KZ,user_471,Кредиты
31.03.2026,"-66,000.00 ₸",KZT,Перевод,Перевод с карты на карту,user_809,Красота
